unix,date,symbol,open,high,low,Price,Telapsed
1639422000,13/12/2021 19:00,BTC/EUR,42030.75,42030.75,40539.59,41464.58,1308.5417
1639425600,13/12/2021 20:00,BTC/EUR,41370.06,41627.98,41086.54,41324.89,1308.5833
1639429200,13/12/2021 21:00,BTC/EUR,41368.86,41582.25,40988.11,41512.27,1308.6250
1639432800,13/12/2021 22:00,BTC/EUR,41512.27,41932.8,41395,41618.22,1308.6667
1639436400,13/12/2021 23:00,BTC/EUR,41579.53,41728.41,41284.13,41403.49,1308.7083
1639440000,14/12/2021 00:00,BTC/EUR,41414.65,41882.54,41037.3,41789.44,1308.7500
1639443600,14/12/2021 01:00,BTC/EUR,41704.67,41774.18,41344.69,41562.07,1308.7917
1639447200,14/12/2021 02:00,BTC/EUR,41556.72,41721.69,41413.23,41682.37,1308.8333
1639450800,14/12/2021 03:00,BTC/EUR,41683.76,41764.7,41530.18,41649.13,1308.8750
1639454400,14/12/2021 04:00,BTC/EUR,41680.53,41873.61,41612.44,41655.58,1308.9167
1639458000,14/12/2021 05:00,BTC/EUR,41671.46,41791.22,41403.53,41430.64,1308.9583
1639461600,14/12/2021 06:00,BTC/EUR,41433.91,41570.99,41095.53,41412.52,1309.0000
1639465200,14/12/2021 07:00,BTC/EUR,41412.34,41732.13,41281.84,41709.24,1309.0417
1639468800,14/12/2021 08:00,BTC/EUR,41725.92,42134.44,41701.98,42102.57,1309.0833
1639472400,14/12/2021 09:00,BTC/EUR,42108.16,42128.35,41413.21,41471.57,1309.1250
1639476000,14/12/2021 10:00,BTC/EUR,41471.11,41887.06,41421.28,41885.4,1309.1667
1639479600,14/12/2021 11:00,BTC/EUR,41862.28,42185,41722.67,42078.25,1309.2083
1639483200,14/12/2021 12:00,BTC/EUR,42079.16,42387.86,42026.37,42036.01,1309.2500
1639486800,14/12/2021 13:00,BTC/EUR,42036.01,42172.38,41544.62,41748.72,1309.2917
1639490400,14/12/2021 14:00,BTC/EUR,41695.34,41901.15,41450,41883.24,1309.3333
1639494000,14/12/2021 15:00,BTC/EUR,41850.9,42116.06,41383.25,41540.2,1309.3750
1639497600,14/12/2021 16:00,BTC/EUR,41563.81,41832.34,41333.65,41459.91,1309.4167
1639501200,14/12/2021 17:00,BTC/EUR,41504.68,41792.66,41315.53,41377.59,1309.4583
1639504800,14/12/2021 18:00,BTC/EUR,41385.83,41668.56,41236.02,41443.94,1309.5000
1639508400,14/12/2021 19:00,BTC/EUR,41419.18,41827.62,41404.5,41652.51,1309.5417
1639512000,14/12/2021 20:00,BTC/EUR,41651.61,42522.68,41615.64,42468.71,1309.5833
1639515600,14/12/2021 21:00,BTC/EUR,42482.69,43235,42427.12,42887.24,1309.6250
1639519200,14/12/2021 22:00,BTC/EUR,42929.54,43076.49,42642.8,42930.12,1309.6667
1639522800,14/12/2021 23:00,BTC/EUR,42870.4,43043,42773.37,42986.22,1309.7083
1639526400,15/12/2021 00:00,BTC/EUR,42950.9,43301.32,42675.35,42754.51,1309.7500
1639530000,15/12/2021 01:00,BTC/EUR,42746.1,42779.25,42591.68,42653.16,1309.7917
1639533600,15/12/2021 02:00,BTC/EUR,42661.41,42701.98,42483.6,42643.24,1309.8333
1639537200,15/12/2021 03:00,BTC/EUR,42619.09,42890.42,42570.69,42866.81,1309.8750
1639540800,15/12/2021 04:00,BTC/EUR,42868.9,43002.29,42712.15,42819.39,1309.9167
1639544400,15/12/2021 05:00,BTC/EUR,42847.15,42901.29,42652.22,42714.16,1309.9583
1639548000,15/12/2021 06:00,BTC/EUR,42720.68,42906.61,42613.12,42657.43,1310.0000
1639551600,15/12/2021 07:00,BTC/EUR,42655.31,42880.39,42547.53,42790.65,1310.0417
1639555200,15/12/2021 08:00,BTC/EUR,42821.23,43260.92,42798.84,43112.21,1310.0833
1639558800,15/12/2021 09:00,BTC/EUR,43079.75,43122.66,42908.7,43032.84,1310.1250
1639562400,15/12/2021 10:00,BTC/EUR,43036.96,43113.15,42776.87,42826.88,1310.1667
1639566000,15/12/2021 11:00,BTC/EUR,42845.04,42942.02,42696.4,42747.93,1310.2083
1639569600,15/12/2021 12:00,BTC/EUR,42739.34,42860.06,42223.8,42271.69,1310.2500
1639573200,15/12/2021 13:00,BTC/EUR,42243.94,42456.44,42134.44,42301.11,1310.2917
1639576800,15/12/2021 14:00,BTC/EUR,42271.18,42427.38,41950,42102.29,1310.3333
1639580400,15/12/2021 15:00,BTC/EUR,42101.95,42174.16,41397.39,41477.51,1310.3750
1639584000,15/12/2021 16:00,BTC/EUR,41468.64,41800.53,41383.25,41796,1310.4167
1639587600,15/12/2021 17:00,BTC/EUR,41786.66,42073.92,41656.21,41825.21,1310.4583
1639591200,15/12/2021 18:00,BTC/EUR,41849.08,42850,41758.84,42514.65,1310.5000
1639594800,15/12/2021 19:00,BTC/EUR,42518.92,43835.4,42063.53,43173.21,1310.5417
1639598400,15/12/2021 20:00,BTC/EUR,43199.08,43835.4,43110.02,43625.7,1310.5833
1639602000,15/12/2021 21:00,BTC/EUR,43635.37,43746.17,43340.57,43551.22,1310.6250
1639605600,15/12/2021 22:00,BTC/EUR,43550.65,43625.4,43093.99,43153.1,1310.6667
1639609200,15/12/2021 23:00,BTC/EUR,43152.49,43355.74,43124.26,43296.53,1310.7083
